id,vocab,vocab_pinyin,vocab_trans_vi,vocab_trans_en,example,example_pinyin,example_trans_vi,example_trans_en,level
531,反倒,fǎn dào,"ngược lại, trái lại","on the contrary, on the contrary",事情反倒变得更糟了。,shìqíng fǎndào biàn de gèng zāo le.,Sự việc ngược lại trở nên tồi tệ hơn.,"On the contrary, things got worse.",6
532,反动,fǎn dòng,phản động,reactionary,他们是反动组织。,tāmen shì fǎndòng zǔzhī.,Họ là tổ chức phản động.,They are a reactionary organization.,6
533,反感,fǎn gǎn,"phản cảm, ghét","disgust, hate",他的行为让人反感。,tā de xíngwéi ràng rén fǎngǎn.,Hành vi của anh ấy khiến người ta ghét.,His behavior is hateful.,6
534,反抗,fǎn kàng,"phản kháng, chống cự","protest, resist",人民反抗了独裁政权。,rénmín fǎnkàng le dúcái zhèngquán.,Người dân đã chống lại chế độ độc tài.,The people rose up against the dictatorship.,6
535,反馈,fǎn kuì,phản hồi,feedback,这个产品收到了很多反馈。,zhège chǎnpǐn shōudào le hěn duō fǎnkuì.,Sản phẩm này đã nhận được nhiều phản hồi.,This product has received a lot of feedback.,6
536,反面,fǎn miàn,"mặt trái, mặt khác",the other side,事情总有反面。,shìqíng zǒng yǒu fǎnmiàn.,Mọi chuyện đều có mặt trái.,Everything has a downside.,6
537,反射,fǎn shè,"phản xạ, phản chiếu",reflection,镜子能反射光线。,jìngzi néng fǎnshè guāngxiàn.,Gương có thể phản xạ ánh sáng.,Mirrors can reflect light.,6
538,反思,fǎn sī,"suy nghĩ lại, ngẫm lại","think again, rethink",我们需要反思自己的错误。,wǒmen xūyào fǎnsī zìjǐ de cuòwù.,Chúng ta cần suy ngẫm về lỗi lầm của mình.,We need to reflect on our mistakes.,6
539,反问,fǎn wèn,hỏi ngược lại,ask back,他反问道：“你为什么不试试？”,"tā fǎnwèn dào: ""nǐ wèishéme bù shìshi?""","Anh ấy hỏi ngược lại: ""Tại sao bạn không thử?""","He asked back: ""Why don't you try?""",6
540,反之,fǎn zhī,ngược lại,opposite,反之，结果可能会不同。,"fǎnzhī, jiéguǒ kěnéng huì bùtóng.","Ngược lại, kết quả có thể sẽ khác.","Otherwise, the results may be different.",6
541,范畴,fàn chóu,"phạm trù, lĩnh vực","category, field",这属于哲学的范畴。,zhè shǔyú zhéxué de fànchóu.,Điều này thuộc phạm trù triết học.,This is in the realm of philosophy.,6
542,泛滥,fàn làn,"lan tràn, tràn lan","spread, spread",洪水泛滥成灾。,hóngshuǐ fànlàn chéng zāi.,Lũ lụt lan tràn gây ra thảm họa.,Rampant flooding causes disaster.,6
543,贩卖,fàn mài,"buôn bán, buôn lậu","trade, smuggling",他被指控贩卖毒品。,tā bèi zhǐkòng fànmài dúpǐn.,Anh ấy bị buộc tội buôn bán ma túy.,He was charged with drug trafficking.,6
544,方位,fāng wèi,"phương vị, vị trí",position,请告诉我这个建筑的方位。,qǐng gàosù wǒ zhège jiànzhù de fāngwèi.,Vui lòng cho tôi biết vị trí của tòa nhà này.,Please tell me the location of this building.,6
545,方言,fāng yán,phương ngữ,dialect,他说的方言我听不懂。,tā shuō de fāngyán wǒ tīng bù dǒng.,Tôi không hiểu phương ngữ mà anh ấy nói.,I don't understand the dialect he speaks.,6
546,方针,fāng zhēn,"phương châm, chính sách","motto, policy",公司已经制定了新的方针。,gōngsī yǐjīng zhìdìng le xīn de fāngzhēn.,Công ty đã thiết lập phương châm mới.,The company has established a new motto.,6
547,防守,fáng shǒu,phòng thủ,defense,守门员负责防守球门。,shǒuményuán fùzé fángshǒu qiúmén.,Thủ môn chịu trách nhiệm bảo vệ khung thành.,The goalkeeper is responsible for defending the goal.,6
548,防疫,fáng yì,phòng dịch,epidemic prevention,我们应该加强防疫措施。,wǒmen yīnggāi jiāqiáng fángyì cuòshī.,Chúng ta nên tăng cường các biện pháp phòng dịch.,We should strengthen epidemic prevention measures.,6
549,防御,fáng yù,"phòng ngự, phòng vệ",defense,城墙用来防御敌人。,chéngqiáng yòng lái fángyù dírén.,Thành trì được dùng để phòng ngự kẻ thù.,Citadels are used to defend against enemies.,6
550,防止,fáng zhǐ,"ngăn ngừa, phòng chống",prevent,请防止这种情况发生。,qǐng fángzhǐ zhè zhǒng qíngkuàng fāshēng.,Vui lòng ngăn chặn tình huống này xảy ra.,Please prevent this situation from happening.,6
551,防治,fáng zhì,phòng trị,prevention and treatment,我们需要防治这种疾病。,wǒmen xūyào fángzhì zhè zhǒng jíbìng.,Chúng ta cần phòng và chữa căn bệnh này.,We need to prevent and cure this disease.,6
552,纺织,fǎng zhī,"dệt, dệt may",textile,这个地区的纺织业非常发达。,zhège dìqū de fǎngzhī yè fēicháng fādá.,Ngành dệt may ở khu vực này rất phát triển.,The textile industry in this area is very developed.,6
553,放大,fàng dà,phóng to,zoom in,科学家放大了细菌的图像。,kēxuéjiā fàngdà le xìjūn de túxiàng.,Các nhà khoa học đã phóng to hình ảnh của vi khuẩn.,Scientists have zoomed in on images of bacteria.,6
554,放射,fàng shè,"phát xạ, bức xạ",radiation,这种物质能放射出有害的辐射。,zhè zhǒng wùzhì néng fàngshè chū yǒuhài de fúshè.,Chất này có thể phát ra bức xạ có hại.,This substance may emit harmful radiation.,6
555,放手,fàng shǒu,"buông tay, thả tay",let go,请放手，我自己能行。,"qǐng fàngshǒu, wǒ zìjǐ néng xíng.","Vui lòng buông tay, tôi có thể tự làm được.","Please let go, I can do it myself.",6
556,非法,fēi fǎ,"phi pháp, bất hợp pháp",illegal,贩卖毒品是非法的。,fànmài dúpǐn shì fēifǎ de.,Buôn bán ma túy là bất hợp pháp.,Drug trafficking is illegal.,6
557,飞禽走兽,fēi qín zǒu shòu,chim bay thú chạy,birds fly animals run,这个地方有很多飞禽走兽。,zhège dìfāng yǒu hěn duō fēiqín zǒushòu.,Nơi này có nhiều chim bay và thú chạy.,This place has many birds flying and animals running.,6
558,飞翔,fēi xiáng,bay lượn,fly,鹰在空中自由飞翔。,yīng zài kōngzhōng zìyóu fēixiáng.,Đại bàng bay lượn tự do trên không trung.,Eagles fly freely in the sky.,6
559,飞跃,fēi yuè,"bay vọt, nhảy vọt",soar,这项技术的发展飞跃。,zhè xiàng jìshù de fāzhǎn fēiyuè.,Sự phát triển của công nghệ này tiến bộ vượt bậc.,The development of this technology is progressing by leaps and bounds.,6
560,肥沃,féi wò,"màu mỡ, phì nhiêu",fertile,这片土地非常肥沃。,zhè piàn tǔdì fēicháng féiwò.,Mảnh đất này rất màu mỡ.,This land is very fertile.,6
561,诽谤,fěi bàng,"phỉ báng, vu khống","defamation, slander",他因为诽谤被起诉了。,tā yīnwèi fěibàng bèi qǐsù le.,Anh ấy bị kiện vì tội phỉ báng.,He was sued for defamation.,6
562,匪徒,fěi tú,"kẻ cướp, kẻ xấu","robber, bad guy",匪徒抢劫了银行。,fěitú qiǎngjié le yínháng.,Bọn cướp đã cướp ngân hàng.,The robbers robbed the bank.,6
563,废除,fèi chú,"bãi bỏ, hủy bỏ",abolish,政府决定废除这项法律。,zhèngfǔ juédìng fèichú zhè xiàng fǎlǜ.,Chính phủ quyết định bãi bỏ luật này.,The government decided to repeal this law.,6
564,沸腾,fèi téng,"sôi, sục sôi",boil,水在沸腾。,shuǐ zài fèiténg.,Nước đang sôi.,The water is boiling.,6
565,废墟,fèi xū,"tàn tích, đống đổ nát",ruins,地震后，城市变成了废墟。,"dìzhèn hòu, chéngshì biàn chéng le fèixū.","Sau trận động đất, thành phố trở thành đống đổ nát.","After the earthquake, the city was in ruins.",6
566,分辨,fēn biàn,phân biệt,distinguish,我能分辨出这两种颜色。,wǒ néng fēnbiàn chū zhè liǎng zhǒng yánsè.,Tôi có thể phân biệt hai màu này.,I can distinguish these two colors.,6
567,分寸,fēn cun,"chừng mực, mức độ",extent,做事要掌握好分寸。,zuòshì yào zhǎngwò hǎo fēncùn.,Làm việc phải biết chừng mực.,Work must know moderation.,6
568,吩咐,fēn fù,"dặn dò, căn dặn",advise,他吩咐我去买些水果。,tā fēnfù wǒ qù mǎi xiē shuǐguǒ.,Anh ấy bảo tôi đi mua một ít trái cây.,He told me to go buy some fruit.,6
569,分红,fēn hóng,"chia lãi, chia lợi tức","profit sharing, profit sharing",公司分红给每个员工。,gōngsī fēnhóng gěi měi gè yuángōng.,Công ty chia cổ tức cho từng nhân viên.,The company distributes dividends to each employee.,6
570,分解,fēn jiě,"phân giải, phân tích",analyze,科学家分解了这个化合物。,kēxuéjiā fēnjiě le zhège huàhéwù.,Các nhà khoa học đã phân giải hợp chất này.,Scientists have broken down this compound.,6
571,分裂,fēn liè,"phân liệt, tách rời","split, separate",这个国家面临分裂的危机。,zhège guójiā miànlín fēnliè de wēijī.,Quốc gia này đang đối mặt với nguy cơ chia rẽ.,The country is facing the risk of division.,6
572,分泌,fēn mì,"tiết ra, bài tiết",secrete,身体会分泌荷尔蒙。,shēntǐ huì fēnmì hè'ěrméng.,Cơ thể sẽ tiết ra hormone.,The body will secrete hormones.,6
573,分明,fēn míng,"rõ ràng, phân minh","clear, distinct",事实分明，他说的都是谎言。,"shìshí fēnmíng, tā shuō de dōu shì huǎngyán.","Sự thật rõ ràng, những gì anh ấy nói đều là nói dối.","The truth is, everything he said was a lie.",6
574,分歧,fēn qí,"khác biệt, bất đồng","difference, disagreement",我们在这个问题上有分歧。,wǒmen zài zhège wèntí shàng yǒu fēnqí.,Chúng ta có sự khác biệt về vấn đề này.,We have differences on this issue.,6
575,分散,fēn sàn,"phân tán, tản ra",disperse,他因为工作的原因必须分散注意力。,tā yīnwèi gōngzuò de yuányīn bìxū fēnsàn zhùyìlì.,Anh ấy phải phân tán sự chú ý vì công việc.,He had to distract himself from work.,6
576,分手,fēn shǒu,"chia tay, chia ly","break up, separation",他们决定分手了。,tāmen juédìng fēnshǒu le.,Họ quyết định chia tay.,They decided to break up.,6
577,坟墓,fén mù,"mộ phần, phần mộ","grave, tomb",这个坟墓已有百年历史。,zhège fénmù yǐ yǒu bǎinián lìshǐ.,Ngôi mộ này đã có lịch sử trăm năm.,This tomb has a history of hundreds of years.,6
578,粉末,fěn mò,"bột, vụn","powder, crumb",这药片可以变成粉末。,zhè yàopiàn kěyǐ biàn chéng fěnmò.,Viên thuốc này có thể biến thành bột.,This pill can be turned into powder.,6
579,粉色,fěn sè,màu hồng,pink,她喜欢粉色的衣服。,tā xǐhuan fěnsè de yīfu.,Cô ấy thích quần áo màu hồng.,She likes pink clothes.,6
580,粉碎,fěn suì,"nghiền nát, phá tan","crush, smash",这台机器可以粉碎垃圾。,zhè tái jīqì kěyǐ fěnsuì lājī.,Cỗ máy này có thể nghiền nát rác.,This machine can crush garbage.,6
581,分量,fèn liàng,"trọng lượng, khối lượng","weight, mass",这个包装的分量很足。,zhège bāozhuāng de fènliàng hěn zú.,Bao bì này có trọng lượng rất đủ.,This packaging has plenty of weight.,6
582,风暴,fēng bào,"bão táp, cơn bão",storm,海上风暴即将来临。,hǎi shàng fēngbào jíjiāng láilín.,Cơn bão trên biển sắp đến.,The storm at sea is coming.,6
583,封闭,fēng bì,"phong bế, đóng kín",closed,他把门窗封闭了。,tā bǎ ménchuāng fēngbì le.,Anh ấy đã đóng cửa sổ lại.,He closed the window.,6
584,风度,fēng dù,"phong độ, tư cách","style, personality",他的风度非常优雅。,tā de fēngdù fēicháng yōuyǎ.,Phong cách của anh ấy rất lịch lãm.,His style is very elegant.,6
585,风光,fēng guāng,"phong cảnh, cảnh đẹp","landscape, beautiful scenery",我们在山顶上欣赏风光。,wǒmen zài shāndǐng shàng xīnshǎng fēngguāng.,Chúng tôi ngắm cảnh trên đỉnh núi.,We enjoyed the view on the top of the mountain.,6
586,封建,fēng jiàn,phong kiến,feudal,这本书讨论了封建社会。,zhè běn shū tǎolùn le fēngjiàn shèhuì.,Cuốn sách này thảo luận về xã hội phong kiến.,This book discusses feudal society.,6
587,锋利,fēng lì,"sắc bén, nhọn",sharp,这把刀非常锋利。,zhè bǎ dāo fēicháng fēnglì.,Con dao này rất sắc bén.,This knife is very sharp.,6
588,丰满,fēng mǎn,"đầy đặn, phong phú","full, rich",他有一副丰满的身材。,tā yǒu yī fù fēngmǎn de shēncái.,Anh ấy có một thân hình đầy đặn.,He has a plump body.,6
589,风气,fēng qì,"phong tục, tập quán",customs,这里的风气很好。,zhèlǐ de fēngqì hěn hǎo.,Bầu không khí ở đây rất tốt.,The atmosphere here is very good.,6
590,风趣,fēng qù,"hài hước, dí dỏm","funny, witty",他讲故事很有风趣。,tā jiǎng gùshì hěn yǒu fēngqù.,Anh ấy kể chuyện rất hài hước.,He tells very funny stories.,6
591,丰盛,fēng shèng,"phong phú, thịnh soạn","rich, sumptuous",秋天是一个丰盛的季节。,qiūtiān shì yī gè fēngshèng de jìjié.,Mùa thu là một mùa bội thu.,Autumn is a bountiful season.,6
592,丰收,fēng shōu,"bội thu, mùa màng tốt",bountiful harvest,今年的丰收令人欣喜。,jīnnián de fēngshōu lìng rén xīnxǐ.,Vụ mùa năm nay bội thu khiến người ta vui mừng.,This year's bumper crop makes people happy.,6
593,封锁,fēng suǒ,phong tỏa,lockdown,我们必须封锁边界。,wǒmen bìxū fēngsuǒ biānjiè.,Chúng ta phải phong tỏa biên giới.,We must seal the border.,6
594,风土人情,fēng tǔ rén qíng,phong tục tập quán,customs,这里的风土人情很有特色。,zhèlǐ de fēngtǔ rénqíng hěn yǒu tèsè.,Phong tục và con người ở đây rất đặc sắc.,The customs and people here are very unique.,6
595,风味,fēng wèi,"hương vị, phong vị",flavor,这个餐厅的风味独特。,zhège cāntīng de fēngwèi dútè.,Hương vị của nhà hàng này rất đặc biệt.,The taste of this restaurant is very special.,6
596,逢,féng,"gặp gỡ, gặp phải","meet, encounter",我们每逢春节都回家。,wǒmen měi féng chūnjié dōu huíjiā.,Chúng tôi về nhà vào mỗi dịp Tết.,We go home every Tet holiday.,6
597,奉献,fèng xiàn,"hiến dâng, cống hiến",dedicate,他一生都在奉献给科学。,tā yīshēng dōu zài fèngxiàn gěi kēxué.,Anh ấy cống hiến cả đời cho khoa học.,He devoted his life to science.,6
598,否决,fǒu jué,"phủ quyết, bác bỏ",veto,这个提案被否决了。,zhège tí'àn bèi fǒujué le.,Đề xuất này đã bị bác bỏ.,This proposal was rejected.,6
599,夫妇,fū fù,vợ chồng,couple,他们是一对幸福的夫妇。,tāmen shì yī duì xìngfú de fūfù.,Họ là một cặp vợ chồng hạnh phúc.,They are a happy couple.,6
600,夫人,fū rén,phu nhân,madam,他的夫人非常优雅。,tā de fūrén fēicháng yōuyǎ.,Vợ của anh ấy rất tao nhã.,His wife is very elegant.,6
601,敷衍,fū yǎn,"qua loa, đại khái",roughly,他总是敷衍了事。,tā zǒng shì fūyǎn liǎoshì.,Anh ấy luôn làm việc qua loa.,He always does things half-heartedly.,6
602,幅度,fú dù,"biên độ, phạm vi","amplitude, range",今年收入的幅度增加了。,jīnnián shōurù de fúdù zēngjiā le.,Mức độ thu nhập năm nay đã tăng.,Income levels have increased this year.,6
603,符号,fú hào,ký hiệu,symbol,数学符号非常重要。,shùxué fúhào fēicháng zhòngyào.,Ký hiệu toán học rất quan trọng.,Mathematical symbols are very important.,6
604,福利,fú lì,phúc lợi,welfare,公司提供了很多福利。,gōngsī tígōng le hěn duō fúlì.,Công ty cung cấp nhiều phúc lợi.,The company offers many benefits.,6
605,俘虏,fú lǔ,"bắt giữ, tù binh","capture, prisoner",战争中有很多俘虏。,zhànzhēng zhōng yǒu hěn duō fúlǔ.,Có nhiều tù binh trong chiến tranh.,There were many prisoners of war.,6
606,服气,fú qì,"phục tùng, chịu phục",submit,他对自己的成绩非常服气。,tā duì zìjǐ de chéngjī fēicháng fúqì.,Anh ấy rất hài lòng với kết quả của mình.,He was very pleased with his results.,6
607,福气,fú qì,"may mắn, phúc đức","luck, blessing",他的家庭非常有福气。,tā de jiātíng fēicháng yǒu fúqì.,Gia đình anh ấy rất may mắn.,His family is very lucky.,6
608,辐射,fú shè,"bức xạ, tia phóng xạ","radiation, radioactive",这种物质会辐射出有害物质。,zhè zhǒng wùzhì huì fúshè chū yǒuhài wùzhì.,Chất này sẽ phát ra các chất có hại.,This substance will emit harmful substances.,6
609,腐败,fǔ bài,"tham nhũng, thối nát",corruption,腐败的官员必须受到惩罚。,fǔbài de guānyuán bìxū shòudào chéngfá.,Các quan chức tham nhũng phải bị trừng phạt.,Corrupt officials must be punished.,6
610,腐烂,fǔ làn,"thối rữa, mục nát",rotten,苹果已经开始腐烂了。,píngguǒ yǐjīng kāishǐ fǔlàn le.,Quả táo đã bắt đầu thối rữa.,The apple has begun to rot.,6
611,腐蚀,fǔ shí,"ăn mòn, bào mòn",corrode,金属表面被腐蚀了。,jīnshǔ biǎomiàn bèi fǔshí le.,Bề mặt kim loại đã bị ăn mòn.,The metal surface has corroded.,6
612,腐朽,fǔ xiǔ,"mục nát, lạc hậu","rotten, backward",这段木头已经腐朽了。,zhè duàn mùtou yǐjīng fǔxiǔ le.,Mảnh gỗ này đã bị mục nát.,This piece of wood is rotten.,6
613,抚养,fǔ yǎng,nuôi dưỡng,nurture,父母有责任抚养孩子。,fùmǔ yǒu zérèn fǔyǎng háizi.,Cha mẹ có trách nhiệm nuôi dưỡng con cái.,Parents are responsible for raising their children.,6
614,俯仰,fǔ yǎng,"cúi ngửa, nhấp nhổm","bend over, fidget",他的表情俯仰之间变化多端。,tā de biǎoqíng fǔyǎng zhījiān biànhuà duōduān.,Biểu cảm của anh ấy thay đổi liên tục.,His expression changed constantly.,6
615,辅助,fǔ zhù,"hỗ trợ, trợ giúp","support, help",我们需要一些辅助工具。,wǒmen xūyào yīxiē fǔzhù gōngjù.,Chúng tôi cần một số công cụ hỗ trợ.,We need some support tools.,6
616,副,fù,"phó, phụ",deputy,他是副经理。,tā shì fù jīnglǐ.,Anh ấy là phó giám đốc.,He is the deputy director.,6
617,负担,fù dān,"gánh nặng, chịu trách nhiệm","burden, responsibility",这个项目对我们来说是一个负担。,zhège xiàngmù duì wǒmen lái shuō shì yīgè fùdān.,Dự án này là một gánh nặng đối với chúng tôi.,This project is a burden for us.,6
618,覆盖,fù gài,"che phủ, bao phủ",cover,山上覆盖着厚厚的积雪。,shān shàng fùgài zhe hòuhòu de jīxuě.,Trên núi phủ đầy tuyết dày.,The mountains are covered with thick snow.,6
619,附和,fù hè,"phụ họa, theo","accompanying, according to",他们总是附和老板的意见。,tāmen zǒng shì fùhè lǎobǎn de yìjiàn.,Họ luôn đồng ý với ý kiến của ông chủ.,They always agree with their boss's opinion.,6
620,复活,fù huó,"phục hồi, tái sinh","restore, regenerate",这个传统节日复活了。,zhège chuántǒng jiérì fùhuó le.,Lễ hội truyền thống này đã được hồi sinh.,This traditional festival has been revived.,6
621,附件,fù jiàn,tệp đính kèm,attachment,我把附件发给你了。,wǒ bǎ fùjiàn fā gěi nǐ le.,Tôi đã gửi tệp đính kèm cho bạn.,I have sent you the attachment.,6
622,附属,fù shǔ,phụ thuộc,dependent,这所学校是大学的附属机构。,zhè suǒ xuéxiào shì dàxué de fùshǔ jīgòu.,Trường này là một tổ chức trực thuộc đại học.,This school is a university affiliated institution.,6
623,腹泻,fù xiè,tiêu chảy,diarrhea,他吃了不洁的食物，结果腹泻了。,"tā chī le bùjié de shíwù, jiéguǒ fùxiè le.","Anh ấy ăn phải thức ăn không sạch, kết quả là bị tiêu chảy.",He ate unclean food and as a result got diarrhea.,6
624,复兴,fù xīng,phục hưng,Renaissance,这个国家正在复兴。,zhège guójiā zhèngzài fùxīng.,Quốc gia này đang phục hưng.,This country is on the rise.,6
625,赋予,fù yǔ,"trao cho, giao cho","give, entrust",我们赋予他新的职责。,wǒmen fùyǔ tā xīn de zhízé.,Chúng tôi giao cho anh ấy nhiệm vụ mới.,We gave him a new assignment.,6
626,富裕,fù yù,"giàu có, phong phú",rich,他的家庭非常富裕。,tā de jiātíng fēicháng fùyù.,Gia đình anh ấy rất giàu có.,His family is very rich.,6
627,副作用,fù zuò yòng,tác dụng phụ,side effects,这个药有副作用。,zhège yào yǒu fùzuòyòng.,Thuốc này có tác dụng phụ.,This medicine has side effects.,6
628,改良,gǎi liáng,"cải tiến, cải tạo","improve, improve",我们需要改良这个系统。,wǒmen xūyào gǎiliáng zhège xìtǒng.,Chúng ta cần cải tiến hệ thống này.,We need to improve this system.,6
629,盖章,gài zhāng,"đóng dấu, ký tên","stamp, sign",请在文件上盖章。,qǐng zài wénjiàn shàng gàizhāng.,Vui lòng đóng dấu vào tài liệu.,Please stamp the document.,6
630,尴尬,gān gà,"ngượng ngùng, khó xử","embarrassed, awkward",他感到非常尴尬。,tā gǎndào fēicháng gāngà.,Anh ấy cảm thấy rất xấu hổ.,He felt so ashamed.,6
631,干旱,gān hàn,"khô hạn, hạn hán",drought,这个地区干旱了很多年。,zhège dìqū gānhàn le hěn duō nián.,Khu vực này đã khô hạn trong nhiều năm.,This area has been dry for many years.,6
632,干扰,gān rǎo,"can thiệp, quấy rầy","interfere, disturb",不要干扰他工作。,bùyào gānrǎo tā gōngzuò.,Đừng làm phiền công việc của anh ấy.,Don't disturb his work.,6
633,干涉,gān shè,can thiệp,intervention,他们干涉了我们的计划。,tāmen gānshè le wǒmen de jìhuà.,Họ đã can thiệp vào kế hoạch của chúng tôi.,They interfered with our plans.,6
634,甘心,gān xīn,"cam tâm, vui lòng",willingly,他甘心做这个工作。,tā gānxīn zuò zhège gōngzuò.,Anh ấy sẵn lòng làm công việc này.,He is willing to do this job.,6
635,干预,gān yù,"can dự, can thiệp",intervene,我们不能干预他的选择。,wǒmen bùnéng gānyù tā de xuǎnzé.,Chúng ta không thể can thiệp vào sự lựa chọn của anh ấy.,We cannot interfere with his choice.,6
636,感慨,gǎn kǎi,"cảm khái, xúc động",emotional,他感慨地说，生活不容易。,"tā gǎnkǎi de shuō, shēnghuó bù róngyì.",Anh ấy cảm thán rằng cuộc sống không dễ dàng.,He lamented that life was not easy.,6
637,感染,gǎn rǎn,"lây nhiễm, truyền nhiễm",infectious,他被感染了流感。,tā bèi gǎnrǎn le liúgǎn.,Anh ấy bị nhiễm cúm.,He has the flu.,6
638,干劲,gàn jìn,"nhiệt tình, hăng hái",enthusiastic,工人们干劲十足地工作。,gōngrénmen gànjìn shízú de gōngzuò.,Công nhân làm việc đầy năng lượng.,Workers work with full energy.,6
639,扛,káng,"vác, gánh",carry,他扛着一袋米回家。,tā káng zhe yī dài mǐ huí jiā.,Anh ấy vác một bao gạo về nhà.,He carried a bag of rice home.,6
640,刚刚,gāng gāng,"vừa mới, vừa lúc",just in time,我刚刚完成任务。,wǒ gānggāng wánchéng rènwù.,Tôi vừa mới hoàn thành nhiệm vụ.,I just finished the mission.,6
641,纲领,gāng lǐng,cương lĩnh,Platform,党的纲领非常明确。,dǎng de gānglǐng fēicháng míngquè.,Cương lĩnh của đảng rất rõ ràng.,The party platform is very clear.,6
642,港口,gǎng kǒu,"cảng, bến cảng","port, harbor",这个港口非常繁忙。,zhège gǎngkǒu fēicháng fánmáng.,Cảng này rất bận rộn.,This port is very busy.,6
643,港湾,gǎng wān,vịnh cảng,harbor,这个港湾是一个天然避风港。,zhège gǎngwān shì yī gè tiānrán bìfēnggǎng.,Cảng này là một bến cảng tránh gió tự nhiên.,This port is a natural sheltered harbor.,6
644,岗位,gǎng wèi,"vị trí, cương vị",position,他在这个岗位工作了十年。,tā zài zhège gǎngwèi gōngzuò le shí nián.,Anh ấy đã làm việc ở vị trí này mười năm.,He has worked in this position for ten years.,6
645,杠杆,gàng gǎn,đòn bẩy,lever,杠杆原理非常重要。,gànggǎn yuánlǐ fēicháng zhòngyào.,Nguyên lý đòn bẩy rất quan trọng.,The principle of leverage is very important.,6
646,高超,gāo chāo,"cao siêu, xuất sắc","sublime, excellent",他的技术非常高超。,tā de jìshù fēicháng gāochāo.,Kỹ thuật của anh ấy rất cao siêu.,His technique is very advanced.,6
647,高潮,gāo cháo,"cao trào, đỉnh cao",climax,会议达到了高潮。,huìyì dádào le gāocháo.,Cuộc họp đã đạt đến đỉnh cao.,The meeting reached its climax.,6
648,高峰,gāo fēng,"đỉnh cao, cao điểm",peak,我们爬上了山的高峰。,wǒmen páshàng le shān de gāofēng.,Chúng tôi đã leo lên đỉnh núi.,We climbed to the top of the mountain.,6
649,高考,gāo kǎo,kỳ thi đại học,college entrance exam,他通过了高考。,tā tōngguò le gāokǎo.,Anh ấy đã đỗ kỳ thi đại học.,He passed the university entrance exam.,6
650,高明,gāo míng,"cao minh, thông minh","smart, intelligent",他的见解非常高明。,tā de jiànjiě fēicháng gāomíng.,Quan điểm của anh ấy rất sáng suốt.,His views are very clear.,6
651,高尚,gāo shàng,"cao thượng, cao quý",noble,他是一个高尚的人。,tā shì yī gè gāoshàng de rén.,Anh ấy là một người cao thượng.,He is a noble man.,6
652,高涨,gāo zhǎng,"tăng cao, nổi lên","rise, rise",物价最近一直在高涨。,wùjià zuìjìn yīzhí zài gāozhǎng.,Giá cả gần đây luôn tăng cao.,Prices have been rising lately.,6
653,稿件,gǎo jiàn,"bản thảo, tài liệu","manuscript, document",他提交了一份稿件。,tā tíjiāo le yī fèn gǎojiàn.,Anh ấy đã nộp một bản thảo.,He submitted a manuscript.,6
654,告辞,gào cí,"cáo từ, từ biệt",farewell,我们告辞了主人。,wǒmen gàocí le zhǔrén.,Chúng tôi đã chào tạm biệt chủ nhà.,We said goodbye to the host.,6
655,告诫,gào jiè,"cảnh cáo, nhắc nhở","warning, reminder",老师告诫我们要努力学习。,lǎoshī gàojiè wǒmen yào nǔlì xuéxí.,Giáo viên nhắc nhở chúng tôi phải học tập chăm chỉ.,The teacher reminded us to study hard.,6
656,割,gē,"cắt, gặt","cut, harvest",他割破了手指。,tā gē pò le shǒuzhǐ.,Anh ấy cắt trúng ngón tay.,He cut his finger.,6
657,搁,gē,"đặt, để",put,请把东西搁在桌子上。,qǐng bǎ dōngxī gē zài zhuōzi shàng.,Hãy đặt đồ vật lên bàn.,Put the objects on the table.,6
658,疙瘩,gē da,"mụn, cục","pimple, lump",他脸上长了一个疙瘩。,tā liǎn shàng zhǎng le yī gè gēda.,Anh ấy có một cái mụn trên mặt.,He has a pimple on his face.,6
659,歌颂,gē sòng,"ca ngợi, ca tụng","praise, praise",我们歌颂英雄的事迹。,wǒmen gēsòng yīngxióng de shìjì.,Chúng tôi ca ngợi những việc làm của anh hùng.,We praise the deeds of heroes.,6
660,隔阂,gé hé,"ngăn cách, trở ngại","barrier, obstacle",他们之间存在隔阂。,tāmen zhījiān cúnzài géhé.,Giữa họ tồn tại sự ngăn cách.,There is a gap between them.,6
661,格局,gé jú,"cấu trúc, bố cục","structure, layout",房子的格局很好。,fángzi de géjú hěn hǎo.,Bố cục của ngôi nhà rất tốt.,The layout of the house is very good.,6
662,隔离,gé lí,cách ly,isolation,病人需要隔离。,bìngrén xūyào gélí.,Bệnh nhân cần được cách ly.,The patient needs to be isolated.,6
663,格式,gé shì,"kiểu mẫu, khuôn mẫu","model, pattern",请按照规定的格式填写表格。,qǐng ànzhào guīdìng de géshì tiánxiě biǎogé.,Vui lòng điền vào mẫu theo định dạng quy định.,Please fill out the form in the prescribed format.,6
664,各抒己见,gè shū jǐ jiàn,mỗi người một ý,each one has his own opinion,会议上，各抒己见。,"huìyì shàng, gèshūjǐjiàn.","Tại cuộc họp, mỗi người bày tỏ ý kiến của mình.","At the meeting, everyone expressed their opinions.",6
665,个体,gè tǐ,"cá thể, cá nhân",individual,这家店是个体经营的。,zhè jiā diàn shì gètǐ jīngyíng de.,Cửa hàng này là kinh doanh cá thể.,This store is a sole proprietorship.,6
666,各自,gè zì,"từng người, mỗi người",each person,他们各自回家了。,tāmen gèzì huíjiā le.,Mỗi người họ đã về nhà.,Each of them went home.,6
